ID,Brand,Name,Original Price,Price,Category,site
21902276,Kikiriki,"Укороченный бралетт в рубчик с надписью ""Milk Shake"" Kikiriki",1990,1990,Бралетт,asos
21732424,River island,Бежевые брюки из искусственной кожи с ремнем River Island,4390,4390,Брюки,asos
21683959,Asos design,Серый свободный кардиган без застежек ASOS DESIGN Petite,2890,2890,Кардиган,asos
21076557,Asos design,Пижамные леггинсы и футболка в розовых тонах ASOS DESIGN Petite exclusive,2290,2290,Футболка,asos
21045971,Asos 4505,Бесшовный топ для йоги с короткими рукавами ASOS 4505,2190,2190,Топ,asos
20674063,Asos design,Удлиненный кружевной бюстгальтер красного цвета с вкладками ASOS DESIGN Arabella,1590,1590,Бюстгальтер,asos
20013230,Nike,Бордовые тайтсы Nike Pro Training,2999,2999,Тайтсы,asos
21202072,Russell athletic,Укороченный худи черного цвета с принтом тай-дай Russell Athletic,6790,6790,Худи,asos
20357689,Club l,Облегающее платье макси на одно плечо с разрезом до бедра сине-зеленого цвета Club L London,3890,3890,Платье,asos
14499019,Asos design,Джинсовое платье-комбинация с V-образным вырезом и присборенной талией ASOS DESIGN,3090,3090,Платье,asos
13686079,Asos design,Светло-синий джинсовый ромпер со шнуровкой ASOS DESIGN,2190,2190,Ромпер,asos
13686054,Asos design,Голубой джинсовый ромпер со шнуровкой ASOS DESIGN Maternity,2190,2190,Ромпер,asos
22097472,As you,Атласное платье мини темно-серого цвета с завязкой спереди AS YOU,2390,2390,Платье,asos
31232,Asos design,ASOS DESIGN fluffy jumper with open back and midi skirt co-ord in dark red,5280,5280,Jumper,asos
22102395,As you,Черное облегающее платье-футболка AS YOU,990,990,Платье,asos
22101990,As you,Серое меланжевое платье мини в рубчик с вырезом по бокам AS YOU,1490,1490,Платье,asos
22048251,As you,Oversized-джоггеры цвета хаки AS YOU,1790,1790,Джоггеры,asos
22047210,As you,Темно-серая oversized-футболка AS YOU,990,990,Футболка,asos
22045945,Urban bliss,Рыжий вязаный джемпер с карманами и ложным воротником Urban Bliss,2690,2690,Джемпер,asos
21987159,As you,Черная укороченная футболка с корсетом As You,1190,1190,Футболка,asos
21863723,New look,Светло-зеленый лонгслив с круглым вырезом New Look Curve,710,710,Лонгслив,asos
21863714,New look,Черный лонгслив с круглым вырезом New Look Curve,710,710,Лонгслив,asos
21778208,Style cheat,"Платье мини А-силуэта изумрудного цвета с высоким воротом, пайетками и поясом Style Cheat",5790,5790,Платье,asos
21765373,Vila,Вязаное платье-джемпер коричневого цвета с декоративными вставками на плечах Vila,3690,3690,Джемпер,asos
21706454,Asos design,Черный комбинезон с футболкой ASOS DESIGN,2890,2890,Комбинезон,asos
21623995,Asos design,Синий свободный топ с рукавами «летучая мышь» ASOS DESIGN Curve,1390,1390,Топ,asos
21603445,In the style,Синий укороченный топ в рубчик In The Style x Shaughna,2190,2190,Топ,asos
21595454,Asos design,Синий короткий джемпер с высоким воротом ASOS DESIGN,2390,2390,Джемпер,asos
